dasp,cwe
access_control,CWE-123
access_control,CWE-269
access_control,CWE-282
access_control,CWE-284
access_control,CWE-285
access_control,CWE-346
access_control,CWE-477
access_control,CWE-749
access_control,CWE-826
access_control,CWE-862
access_control,CWE-863
access_control,CWE-940
arithmetic,CWE-190
arithmetic,CWE-191
arithmetic,CWE-195
arithmetic,CWE-369
arithmetic,CWE-682
arithmetic,CWE-1339
arithmetic,CWE-667
denial_service,CWE-391
denial_service,CWE-400
denial_service,CWE-834
denial_service,CWE-835
reentrancy,CWE-1265
unchecked_low_calls,CWE-252
unchecked_low_calls,CWE-561
unchecked_low_calls,CWE-695
unchecked_low_calls,CWE-703
unchecked_low_calls,CWE-754
bad_randomness,CWE-330
bad_randomness,CWE-829
front_running,CWE-362
time_manipulation,CWE-829
Other,CWE-20
Other,CWE-119
Other,CWE-573
Other,CWE-665
Other,CWE-824
Other,CWE-908
Other,CWE-667
Other,CWE-670
Other,CWE-1177
Other,CWE-328
Other,CWE-347
Other,CWE-693
Other,CWE-1124
Other,CWE-1126
Other,CWE-778
Other,CWE-1041
Other,CWE-1076
Ignore,CWE-710
Ignore,CWE-778
Ignore,CWE-1041
Ignore,CWE-1076
Ignore,CWE-1120
Ignore,CWE-1164